export_res_ 1,export_res_ 2,export_res_ 3,export_res_ 4,export_res_ 5,export_res_ 6,export_res_ 7,export_res_ 8,export_res_ 9,export_res_10,export_res_11,export_res_12,export_res_13,export_res_14,export_res_15,export_res_16,export_res_17,export_res_18,export_res_19,export_res_20,export_res_21,export_res_22,export_res_23,export_res_24,export_res_25,export_res_26,export_res_27,export_res_28,export_res_29,export_res_30,export_res_31,export_res_32,export_res_33,export_res_34,export_res_35,export_res_36,export_res_37,export_res_38,export_res_39,export_res_40,export_res_41,export_res_42,export_res_43,export_res_44
103.6624,32.0778,-0.9285826,5.702755,3.662806,0.08484684,1.754942,1.156341,3.770473,4.096715,2.415765,6.18462,3.311867,3.234474,2.628405,2.014532,-0.7870125,-1.227002,-3.085667,-4.157112,-4.469295,-3.630096,-3.761574,-1.535054,-2.529793,-1.4517,-3.436808,-1.784332,0.279841,-1.644783,-1.017926,-0.3939705,-0.8773998,0.1102766,-1.911318,0.2501344,-0.06619771,1.255973,2.644297,2.343053,1.155978,4.240686,-0.6780576,0.2304972
103.6628,32.07787,-0.3530765,1.489512,1.080338,-0.7839969,2.052025,-0.3148619,-0.5341909,1.827648,2.534358,5.253122,4.622094,2.6596,3.789823,3.055368,-2.174532,-2.922761,-2.183298,1.790727,-2.857146,-2.232636,-3.405371,1.475266,-2.813046,-3.952234,-1.590501,-0.4515895,-0.6865473,0.09736755,-1.917979,-3.265906,-6.545538,-2.19011,-1.066711,0.6134062,2.251768,2.201107,3.225493,5.821629,2.930257,5.128325,-1.927172,3.771091
103.6627,32.07788,-0.409404,3.6019,-0.3565373,-0.1814404,0.1883017,-0.8010249,0.8442414,1.966499,6.089689,6.242991,2.277219,4.798212,2.210905,3.080598,-2.157592,-0.9883163,-1.632556,-7.810511,-4.30005,-1.103535,-2.480324,0.6214603,-2.390541,-3.336995,-2.326456,-0.5601795,1.996826,-0.02598696,0.2047192,-2.342881,-1.643597,0.02060057,0.7140398,1.048948,1.782819,1.728882,0.764021,-0.2486348,1.830533,2.618239,1.369371,0.5834119
103.662,32.07798,-1.820712,4.996704,2.018416,1.828655,-0.9566883,5.799543,3.767437,7.190899,2.98435,5.850297,3.912124,5.814319,3.430036,3.079986,0.3672976,-2.303475,-1.659058,-2.896668,-4.329973,-0.125137,-2.535594,-0.0528142,-6.457218,-1.143314,-3.309081,0.3921669,-0.2327287,-1.633908,-2.524874,-3.656979,-3.233576,-3.304919,1.237985,1.016136,-0.3677647,2.557914,0.5717157,0.7825578,2.980283,1.916448,-3.440427,-1.496069
103.6634,32.0779,2.502851,-1.231146,-3.938781,-4.620764,-2.716045,-5.356346,-1.54844,0.01936565,0.1828423,3.662432,2.283582,0.5145006,-0.7676768,-0.3976111,-2.775097,-1.793986,-2.402442,-4.174891,-2.865676,-2.766807,-4.717208,-1.03767,-1.895561,-1.050935,-0.7892806,1.186024,0.129492,0.867631,1.203673,1.135285,0.9028165,0.6737087,0.1539135,3.638131,1.203493,4.656228,4.496815,3.241822,5.607285,6.319071,3.549765,6.133218
103.6633,32.07792,1.479732,-0.1606452,0.4687576,-2.141723,-1.778593,-2.93679,-1.257427,-0.1779328,0.9524674,2.188402,1.202431,1.226532,-0.4567457,1.027313,-1.179478,-2.102337,-2.686363,-3.556938,-3.910692,-1.686242,-2.770599,0.4828873,-1.337699,-1.896066,-1.079177,-0.6648923,0.5949214,-0.1810558,-0.3802986,-0.2922316,-0.2286872,-0.7840033,0.1875202,1.772918,1.330747,4.460385,4.171772,3.19379,3.51311,6.812123,2.240783,5.272993
103.6632,32.07794,1.703432,-1.188698,0.03438725,-2.473394,-1.23057,-3.996237,-2.511953,1.873481,2.483131,2.837748,-0.8432215,5.455364,-0.5515271,-1.090808,-3.446939,-3.260822,-2.784903,-0.8587539,-4.305326,-2.950818,-1.628474,-3.126377,-3.335702,-1.138155,-4.00538,1.655802,6.919113,0.4137077,-0.6858785,-0.7067101,-0.5720561,-1.848072,0.9095807,3.269792,0.900399,6.120612,1.654823,5.281621,3.880632,6.709855,-0.06159965,8.947815
103.6635,32.07801,1.579447,1.547038,-3.458648,-1.981473,-0.7411568,-0.749047,0.8541451,4.900178,-0.9834296,1.920057,-1.216605,-1.791534,-3.435469,0.1090964,0.7618786,-2.313703,-1.549356,-3.879568,-2.616052,-4.791741,-4.483481,1.95586,-3.624897,-2.573076,-4.123021,0.5767742,0.6680696,1.281476,0.8307873,-0.2351517,7.031034,0.1410554,-0.1622761,-0.2490558,2.797742,3.316509,1.541272,2.697258,4.11127,6.732224,-2.568182,6.251932
103.6635,32.07802,1.908749,-2.71832,-3.079714,1.379246,-5.39182,-0.5461452,-0.9614217,3.999081,-1.992894,-1.96813,4.814314,1.359448,0.6547194,-1.662752,-2.818032,-0.3668112,-2.012361,-5.457989,-3.323523,-3.265902,-5.575856,2.150868,0.7853792,-2.804166,-3.515958,0.7002745,1.067546,-0.8445153,3.339199,-0.5016211,0.1240522,3.61738,-0.3318629,3.928711,3.137763,1.885925,3.814771,3.8798,3.747138,6.634657,0.1925142,3.713733
103.6636,32.07812,1.432251,-2.701573,-1.368184,0.1271482,-1.675413,-3.561942,-1.494918,0.6007221,-1.653153,1.165202,-0.198835,0.6190946,0.6759934,3.03663,0.1628094,-2.806227,-2.05587,-2.365861,-3.262356,-2.462801,-1.069745,1.634065,-1.047218,-1.026055,-3.410657,-3.196944,3.336443,0.6183853,0.9091105,1.243479,0.6430911,0.643172,0.4331148,1.48545,1.032256,4.14006,0.8932129,3.429308,3.118774,4.00238,0.5826806,3.887533
103.6635,32.07814,1.792349,1.264239,0.9233675,-2.431612,-1.498269,-1.473397,0.5545895,-1.021357,3.013774,3.47425,1.597806,-0.9516014,0.3713669,-0.7626366,-2.865276,-3.703158,-4.150418,-6.22047,-6.12359,-5.853359,-2.632989,4.559746,2.866689,-0.1335091,-0.7327531,2.241982,-3.029647,-1.435998,-1.563057,-0.2227873,-1.113723,0.9357525,-2.411645,-0.1494009,2.904846,5.850343,2.359056,4.69832,7.108859,7.795348,4.844458,5.580282
103.6629,32.07823,-0.1762131,0.8415951,1.165978,-1.374832,-1.651784,-2.455962,3.309141,1.544008,7.254577,5.746725,5.178321,1.512251,3.22221,4.495804,-1.020848,-0.8122339,0.5730547,-3.811342,-6.709834,-5.601389,-4.794245,2.521552,-2.324073,-1.533306,-3.729478,-2.291329,1.117684,2.843247,-0.6032385,-0.2792852,0.02511615,-1.069657,-2.560885,3.586853,-0.4895413,1.610882,1.412079,2.719723,1.083244,6.29522,-1.541258,-1.52295
103.6627,32.07839,-6.557613,13.16853,8.045484,7.117994,10.52722,17.90408,5.115402,8.07324,9.25822,10.94098,5.712076,7.012472,3.640605,4.988535,2.699728,-0.6138435,-1.46381,-2.556731,-2.44737,-0.09764814,-3.466479,-0.3905334,-2.870811,-3.705904,-4.868129,-4.59562,-1.237091,-1.63371,-0.9865047,-3.575717,-5.466168,-4.892337,-1.860948,-1.614429,-5.83204,-2.885103,-1.352248,-3.778941,-2.638106,-5.392985,-10.67912,-14.30875
