export_res_ 1,export_res_ 2,export_res_ 3,export_res_ 4,export_res_ 5,export_res_ 6,export_res_ 7,export_res_ 8,export_res_ 9,export_res_10,export_res_11,export_res_12,export_res_13,export_res_14,export_res_15,export_res_16,export_res_17,export_res_18,export_res_19,export_res_20,export_res_21,export_res_22,export_res_23,export_res_24,export_res_25,export_res_26,export_res_27,export_res_28,export_res_29,export_res_30,export_res_31,export_res_32,export_res_33,export_res_34,export_res_35,export_res_36,export_res_37,export_res_38,export_res_39,export_res_40,export_res_41
103.6581,32.07528,-3.232797,-8.736032,-11.39895,-4.452492,-6.789827,-3.813601,-1.212376,3.187081,3.319794,7.532849,8.943555,11.62208,6.868572,8.686214,7.666029,3.381528,3.147245,2.079425,4.766044,0.143084,-0.8632685,-3.799743,-1.243889,-1.205133,0.07587461,1.031472,2.014758,8.378096,3.097171,8.809993,6.2614,4.386306,6.071013,1.522529,1.520875,3.277489,2.691513,7.562355,5.625415
103.658,32.07528,-5.829792,-11.2199,-9.025717,-9.071763,-10.68125,-5.930981,0.2910209,0.7333006,0.1123076,1.107713,0.6693984,4.780581,7.998292,9.786971,8.299195,8.252986,2.819591,3.329451,-0.3201843,-2.587112,-1.444571,-1.510103,-8.260396,-4.458061,-4.644145,-2.747269,-0.8529029,-3.834208,3.156182,-1.525451,3.86744,0.1170978,-1.14098,-1.284707,-2.042601,-0.2134899,3.62102,-0.6762389,-0.3471431
103.658,32.07529,-8.190465,-32.44717,-27.83364,-8.325651,-16.86944,-10.73971,-8.231125,-3.427094,-1.834599,1.598802,0.4896949,3.428783,10.78491,10.509,8.539193,13.21747,3.377147,4.242649,-1.128281,-2.988122,-3.111163,-0.2184148,-7.2241,-8.853923,-13.23656,-20.81403,-20.75617,-25.0754,-22.28565,-26.70676,-21.44619,-23.95254,-22.83969,-24.66069,-26.73121,-25.75402,-19.808,-21.13693,-24.30705
103.6582,32.07539,-5.78322,-13.37952,-10.65658,-10.85656,-3.771167,-1.886905,-1.079816,3.637722,3.992225,4.900074,1.361064,5.480549,7.298699,7.47322,6.05125,6.907358,2.445628,1.850954,1.682767,-1.553041,-1.152739,-4.234035,-2.352548,0.1288798,-3.075219,1.329023,-0.575012,-6.249456,-1.018403,-4.899305,-7.525446,-4.857865,-2.740599,-5.251298,-7.029961,-5.619655,-4.119289,-5.701612,-9.462195
103.6581,32.07539,0.5919051,-16.94863,-13.06344,-10.71684,-2.029227,-5.022329,1.668914,7.425526,4.456194,5.244656,5.74386,7.361507,5.339915,5.049589,4.48285,4.833398,4.438848,5.721274,-0.2604989,1.132663,-3.179893,-1.461064,-2.264275,-0.8967034,-4.78712,-0.5756541,-2.426083,0.5214355,-1.354839,1.375209,3.693982,0.8305808,6.803964,7.20042,5.369561,6.486093,6.493936,8.834509,4.659312
103.6582,32.07538,-0.8104576,-17.89097,-17.38298,-14.13565,-7.210712,-8.780695,-6.601761,3.20045,1.97973,3.054479,8.242681,10.15705,4.979263,9.094934,8.246566,3.386542,2.700054,4.886535,0.4496114,2.892763,2.695601,5.928859,-2.540405,-1.078621,3.748811,2.482343,5.719421,11.7902,7.066206,10.51275,12.18788,8.735246,6.211453,6.602235,3.273603,3.713652,5.333849,8.228434,4.227342
103.6579,32.07542,-2.522633,-15.64319,-11.76902,-10.09354,-9.809346,-7.552136,0.04829704,-6.474721,-0.6153588,5.81388,5.627265,10.41244,8.206602,8.586318,7.552099,4.331409,5.450642,6.503357,-0.3966914,-2.342959,-0.2409454,-5.192545,-5.59096,4.337303,-6.376489,-1.283349,3.248912,5.778503,7.05704,5.823456,3.86454,0.2123765,6.012387,2.201205,-2.200069,1.378331,2.152707,4.234464,-1.333803
103.6578,32.07544,0.6651849,-10.19559,-9.232433,-3.923738,1.046192,0.3561911,-1.324644,-2.104575,10.30592,1.6471,3.000102,5.020409,9.230603,2.121379,1.414637,7.686157,8.767124,4.486128,3.301259,-1.047779,-1.264996,-3.167466,-6.530478,-5.574838,-0.4852982,-2.898149,-1.960554,-1.171265,4.559171,4.537457,1.351322,4.693513,1.106121,4.886125,3.045942,4.076831,3.538786,10.23346,1.699096
103.6578,32.07545,0.05892123,-13.62392,-10.70807,-6.751438,-6.85758,-9.320401,1.513019,-7.738459,11.37902,1.255481,4.001194,-3.005011,9.650816,6.440173,5.947723,9.702728,2.419864,8.182577,0.1713501,0.2310573,-0.1584063,-5.554327,-10.63031,-5.263766,-2.267903,-5.734865,-4.703138,-8.114716,-0.0325767,-0.5679268,-1.903499,3.315498,-4.900329,3.151295,-0.9990633,-0.7981499,-0.4586501,5.600887,-0.8202511
103.6583,32.07549,-10.31793,-8.738485,0.3286051,-6.448819,0.7681392,-2.692975,-8.359916,0.8381345,-2.881185,1.982394,-5.641833,2.77308,6.341962,6.871405,4.873665,9.307344,-4.189449,5.345779,1.71135,1.586132,-2.604347,-7.91256,-1.849063,-4.433621,-1.543303,-8.108392,-16.56205,-27.3534,-15.24345,-28.15158,-12.63149,-16.48892,-19.65503,-16.7713,-20.05861,-24.0214,-15.56003,-18.55314,-22.35857
103.6584,32.0756,-3.450347,-6.608339,-3.28438,-0.6952923,5.123656,5.357464,-1.212355,11.55364,-1.839495,9.030495,9.613574,3.04388,9.752141,5.963441,4.767247,4.416901,3.648006,8.247318,1.620137,4.596642,-2.264105,-0.350458,-0.5117835,-2.913376,-1.832726,-2.539129,-0.5395651,-3.484497,-1.4685,-4.989259,-2.517084,-0.472104,-6.701633,1.483138,-3.496657,-10.26051,-3.149779,-3.49658,-8.189976
103.6592,32.07613,-0.5487637,-17.43024,-15.07469,-10.45398,-6.291852,-5.595651,2.352525,1.850117,2.186057,3.533927,7.202838,9.815058,5.279029,6.473189,5.658425,1.870214,4.216974,8.859927,1.942854,2.036072,-1.97756,-3.47949,-5.197541,-3.229789,-3.994263,-1.624679,-0.4755282,2.723049,-0.3142055,5.222325,3.504397,4.55797,5.643096,5.732303,3.630659,7.298363,7.783684,7.540455,5.243869
103.6593,32.07624,-1.824346,-20.8167,-12.037,-13.00238,-8.64046,-4.576276,-1.924302,3.111323,-4.602865,1.40281,6.729172,6.048683,1.534849,9.070272,7.901999,9.460775,3.748755,1.9845,1.524795,-0.6213952,-0.1731327,-0.4499607,-2.452162,-7.048553,-1.088753,1.395825,2.440249,4.998131,3.393293,4.986896,3.474251,2.92121,2.866634,3.135702,8.005828,3.264853,7.408487,9.738509,7.408422
103.6591,32.07627,-2.241661,-14.75287,-10.43578,-9.171533,-13.31286,-7.353127,5.178659,3.242243,1.387809,5.214739,6.561686,10.02484,7.433924,5.694251,5.065552,6.171908,7.12031,9.546432,1.716736,1.313795,-4.353269,-3.029245,-6.917617,-10.1218,-7.769146,-20.09385,-17.95811,-15.75738,-14.88942,-15.68795,-14.24899,-10.50176,-15.39232,-14.03261,-11.79639,-12.05646,-9.743512,-12.05444,-15.39307
103.6594,32.07648,-3.210059,-12.52607,-13.21758,-4.865703,-0.1628387,-1.361477,7.671761,5.989552,13.70205,9.299707,14.26081,12.04932,7.258272,12.0141,10.68456,10.49885,3.264886,4.068822,-0.3437767,0.324707,-5.860108,-2.134762,-3.763198,-3.916719,3.826324,3.86743,6.216075,10.13537,9.309671,13.49951,10.02275,9.985728,9.039037,16.71353,15.2649,9.83041,13.67511,17.42913,10.33879
103.6594,32.07648,-4.760201,-0.7581947,-8.435869,-1.531438,4.433499,-5.977224,14.57603,6.981225,17.29483,16.00929,20.81772,18.42587,9.578394,11.14332,9.7039,14.10628,8.293768,4.115223,2.382723,-6.653672,-5.07725,1.596559,-0.5225173,-8.616065,4.312896,14.35743,15.81709,24.16498,18.78935,24.31333,19.02947,18.55909,16.21953,24.35886,21.87759,17.18547,18.61125,20.57288,18.37297
