Product,PerpBaseline[m],TempBaseline[days],Coherence,HeightofAmbiguity[m],DopplerDiff[Hz],
S1A_IW_SLC__1SDV_20180125T120342_20180125T120409_020311_022AF6_12FC,22.68,36.00,0.95,-790.66,1.87
S1A_IW_SLC__1SDV_20180101T120342_20180101T120410_019961_021FE1_5900,125.26,60.00,0.84,-143.14,3.52
S1A_IW_SLC__1SDV_20171220T120343_20171220T120411_019786_021A70_FB0C,54.29,72.00,0.89,-330.28,0.04
S1A_IW_SLC__1SDV_20171126T120344_20171126T120412_019436_020F89_E627,-48.09,96.00,0.87,372.81,-6.46
S1A_IW_SLC__1SDV_20171208T120343_20171208T120411_019611_0214FC_1FDD,57.12,84.00,0.88,-313.88,-3.00
S1A_IW_SLC__1SDV_20171114T120344_20171114T120412_019261_0209FF_410D,52.94,108.00,0.86,-338.67,-0.71
S1A_IW_SLC__1SDV_20171021T120344_20171021T120412_018911_01FF3B_9AB3,22.21,132.00,0.86,-807.36,2.04
S1A_IW_SLC__1SDV_20171102T120344_20171102T120412_019086_02048A_05BA,26.21,120.00,0.87,-684.01,-3.78
S1A_IW_SLC__1SDV_20171009T120344_20171009T120412_018736_01F9D6_214D,-33.08,144.00,0.84,542.00,1.58
S1A_IW_SLC__1SDV_20180829T120350_20180829T120418_023461_028DC3_4EA3,-29.38,-180.00,0.81,610.26,-2.64
S1A_IW_SLC__1SDV_20170927T120344_20170927T120412_018561_01F486_DA05,-61.08,156.00,0.81,293.54,-4.57
S1A_IW_SLC__1SDV_20170915T120344_20170915T120412_018386_01EF2B_1E9F,-64.79,168.00,0.80,276.75,1.96
S1A_IW_SLC__1SDV_20170903T120343_20170903T120411_018211_01E9B7_CE1F,5.25,180.00,0.83,-3412.65,-1.99
S1A_IW_SLC__1SDV_20180817T120349_20180817T120417_023286_028835_8388,-40.46,-168.00,0.82,443.17,-1.78
S1A_IW_SLC__1SDV_20190707T120353_20190707T120420_028011_0329CD_7B90,21.43,-492.00,0.54,-836.77,0.97
S1A_IW_SLC__1SDV_20190625T120352_20190625T120420_027836_03247A_47A3,-9.21,-480.00,0.56,1947.19,0.92
S1A_IW_SLC__1SDV_20190613T120351_20190613T120419_027661_031F43_4B51,71.63,-468.00,0.54,-250.32,2.25
S1A_IW_SLC__1SDV_20190601T120350_20190601T120418_027486_0319F2_F8A7,-29.76,-456.00,0.57,602.52,-2.78
S1A_IW_SLC__1SDV_20190414T120348_20190414T120416_026786_030276_66FC,-21.34,-408.00,0.62,840.06,-2.71
S1A_IW_SLC__1SDV_20190508T120349_20190508T120417_027136_030F08_F173,74.72,-432.00,0.57,-239.94,-1.00
S1A_IW_SLC__1SDV_20190402T120348_20190402T120416_026611_02FC10_291C,-36.45,-396.00,0.62,491.97,0.67
S1A_IW_SLC__1SDV_20190520T120350_20190520T120418_027311_031480_1D13,7.40,-444.00,0.59,-2423.06,0.37
S1A_IW_SLC__1SDV_20190321T120348_20190321T120416_026436_02F598_FAE9,-16.18,-384.00,0.64,1108.20,-3.31
S1A_IW_SLC__1SDV_20190213T120348_20190213T120416_025911_02E292_5396,27.44,-348.00,0.67,-653.46,-2.99
S1A_IW_SLC__1SDV_20190225T120348_20190225T120416_026086_02E8D9_4A40,-46.04,-360.00,0.64,389.48,-1.51
S1A_IW_SLC__1SDV_20190309T120348_20190309T120415_026261_02EF29_7445,-52.38,-372.00,0.63,342.33,-2.76
S1A_IW_SLC__1SDV_20190201T120348_20190201T120416_025736_02DC62_328B,17.76,-336.00,0.68,-1009.40,1.74
S1A_IW_SLC__1SDV_20181227T120349_20181227T120417_025211_02C956_D24E,-47.55,-300.00,0.70,377.05,-2.64
S1A_IW_SLC__1SDV_20190120T120348_20190120T120416_025561_02D602_E8B5,18.22,-324.00,0.69,-984.00,-1.31
S1A_IW_SLC__1SDV_20190108T120349_20190108T120417_025386_02CFA8_7F36,47.58,-312.00,0.69,-376.80,-0.31
S1A_IW_SLC__1SDV_20181203T120350_20181203T120418_024861_02BCD8_90C1,35.46,-276.00,0.73,-505.57,0.90
S1A_IW_SLC__1SDV_20181121T120351_20181121T120418_024686_02B6BF_409F,64.02,-264.00,0.72,-280.07,-2.66
S1A_IW_SLC__1SDV_20181215T120350_20181215T120417_025036_02C2FF_4D0C,59.68,-288.00,0.70,-300.45,-0.26
S1A_IW_SLC__1SDV_20181109T120351_20181109T120419_024511_02B04D_2CBE,58.28,-252.00,0.73,-307.64,-3.29
S1A_IW_SLC__1SDV_20181028T120351_20181028T120419_024336_02AA1D_589A,-13.83,-240.00,0.77,1296.06,1.02
S1A_IW_SLC__1SDV_20181016T120351_20181016T120419_024161_02A47A_CC4C,-90.50,-228.00,0.73,198.12,-5.42
S1A_IW_SLC__1SDV_20180922T120351_20180922T120418_023811_02990F_EAB0,12.12,-204.00,0.80,-1479.02,2.09
S1A_IW_SLC__1SDV_20181004T120351_20181004T120419_023986_029EC8_FBF8,28.23,-216.00,0.78,-635.10,-0.03
S1A_IW_SLC__1SDV_20180910T120350_20180910T120418_023636_02935F_E57E,30.84,-192.00,0.80,-581.41,1.32
S1A_IW_SLC__1SDV_20190812T120355_20190812T120423_028536_033A08_B4EC,-77.52,-528.00,0.48,231.29,-0.30
S1A_IW_SLC__1SDV_20190905T120356_20190905T120424_028886_03462C_DB48,-69.26,-552.00,0.47,258.89,-1.66
S1A_IW_SLC__1SDV_20190824T120356_20190824T120424_028711_034010_9BCC,-96.17,-540.00,0.46,186.43,-5.00
S1A_IW_SLC__1SDV_20190731T120354_20190731T120422_028361_03346D_18CD,53.49,-516.00,0.50,-335.23,-2.32
S1A_IW_SLC__1SDV_20190719T120353_20190719T120421_028186_032F14_1845,-10.79,-504.00,0.53,1661.48,1.74
